Id,m2
StatusCode,Complete
Messages,
Full label,us-east-1:AWS/EC2 InstanceId:i-052bbcbccf7277a40 CPUUtilization Average 300
Label,CPUUtilization
2026/02/14 15:00:00,2.0831292722730756
2026/02/14 15:05:00,2.1066633724501918
2026/02/14 15:10:00,2.1099771970385484
2026/02/14 15:15:00,2.0666719782408043
2026/02/14 15:20:00,2.1199893141898545
2026/02/14 15:25:00,2.090004899740227
2026/02/14 15:30:00,2.1033237511773537
2026/02/14 15:35:00,2.0833254726454564
2026/02/14 15:40:00,2.143508367378039
2026/02/14 15:45:00,2.113188755519476
2026/02/14 15:50:00,2.143348465165621
2026/02/14 15:55:00,2.060156171121064
